EmployeeID,Salary,Country,Passcode
16340113 -7165,"$81,489",Malaysia,ZNJ08KHP0JY
16240305 -4212,"$92,187",Oman,ZKU60IGH6CD
16841014 -8251,"$65,347",Curaçao,ZHH04FOR8ZA
16780513 -9008,"$69,232",Burundi,ZEQ45YWH5CW
16520607 -7249,"$51,240",Uganda,YZP59ZDS6YG
16680804 -3472,"$92,868",Spain,YYN34ZBG4MS
16790520 -6707,"$24,193",Angola,YWO03UFQ0TB
16920428 -0698,"$35,838",Qatar,YDW02EBS1DS
16370902 -3281,"$73,369",Mauritania,XLB23OTH2CM
16140530 -1837,"$68,573",Montenegro,XGS23DFI6BM
16051003 -3665,"$41,630",Dominican Republic,WRN14VLN3VD
16060113 -5817,"$92,932",Monaco,WOV44LRT2ZD
16850223 -8804,"$48,145",Colombia,VYU71NWM5LT
16950418 -3030,"$78,585",China,VUB47HWR5EN
16771001 -0195,"$06,103",Eritrea,UUI61JTZ0NC
16101124 -9891,"$75,105",Turks and Caicos Islands,TWI40PVM4LC
16410927 -7659,"$07,885",Slovakia,TTW68DFO2YO
16250429 -8684,"$61,230",Malawi,TCU96QRX9CE
16210705 -4534,"$21,830",Belize,SZK62GVZ8NI
16901026 -9257,"$09,999",Sweden,SVW78XAP3OV
16800122 -2739,"$54,921",Wallis and Futuna,SSK17IRB7FK
16951024 -7068,"$83,878",Viet Nam,SJR16HPT8EK
16970123 -5252,"$75,228",Central African Republic,SHP02CIP2VR
16250218 -6691,"$47,705",Yemen,SCF90ZRL3BM
16390104 -0265,"$21,541",Guadeloupe,SBY10IJE3EQ
16030503 -6774,"$92,019",Samoa,SBN74FYH6JJ
16970719 -4214,"$96,880",Syria,RXN01JXU2WC
16050728 -1673,"$72,063",Chad,RLJ79WSK7XO
16530501 -4671,"$69,020",Qatar,QYN53GNF5SM
16661221 -8336,"$12,216",Viet Nam,QWA57XZW7FB
16070128 -6445,"$42,257",Panama,QPY55RSZ3WO
16331222 -1181,"$10,902",Andorra,QLI27LJG3XG
16500201 -6094,"$09,382",United States,QDD98ZFP7XF
16491126 -5819,"$69,676",Faroe Islands,PUG95IHI3EZ
